competition,model_id,model_family,seed,params_json,cv_auc_mean,cv_auc_std,cv_auc_min,cv_auc_max,public_auc,private_auc,cv_private_gap,abs_cv_private_gap,public_private_gap,abs_public_private_gap,runtime_seconds
santander,486,xgboost,59131,"{""n_estimators"": 1100, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_weight"": 10.0, ""gamma"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0}",0.8907454938339517,0.0017964775667692,0.8876230714133612,0.8924396050597486,,,,,,,193.58304691314697
santander,487,xgboost,190495,"{""n_estimators"": 1100, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 2.0, ""gamma"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0}",0.8673892283343287,0.0037247677661433,0.8604577377149827,0.8715157260813864,,,,,,,168.02191376686096
santander,488,xgboost,380043,"{""n_estimators"": 1100, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1.0, ""gamma"": 0.01, ""subsample"": 0.9, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0}",0.8810416825302166,0.0033969762446341,0.8745364962292485,0.8841558397893489,,,,,,,133.33303594589233
santander,489,xgboost,838125,"{""n_estimators"": 700, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 3.0, ""gamma"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}",0.8261955562137031,0.0038734635408526,0.819294864615223,0.8307729683630336,,,,,,,84.23042917251587
santander,490,xgboost,345279,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 2.0, ""gamma"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0}",0.8908653884171992,0.0025567344323639,0.8860644871805509,0.8932231041844695,,,,,,,178.56896877288818
santander,491,xgboost,946698,"{""n_estimators"": 700, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 8.0, ""gamma"": 0.0, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",0.8623141095755539,0.0035981644962129,0.855841107829391,0.866621779918556,,,,,,,124.7295536994934
santander,492,xgboost,976439,"{""n_estimators"": 1100, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 2.0, ""gamma"": 0.0, ""subsample"": 0.7, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5}",0.8910537116852968,0.0029962405973421,0.88536687394047,0.8938515654764269,,,,,,,215.3866760730743
santander,493,xgboost,14995,"{""n_estimators"": 900, ""learning_rate"": 0.07, ""max_depth"": 7, ""min_child_weight"": 3.0, ""gamma"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.01, ""reg_lambda"": 0.5}",0.8857194075296718,0.0025399101239668,0.8811974279519578,0.8880078942440932,,,,,,,200.0543167591095
santander,494,xgboost,727132,"{""n_estimators"": 700, ""learning_rate"": 0.07, ""max_depth"": 7, ""min_child_weight"": 1.0, ""gamma"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.01, ""reg_lambda"": 0.5}",0.88484264706567,0.0025779934353045,0.8799535500651274,0.8870830053452432,,,,,,,165.19874000549316
santander,495,xgboost,330380,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 3.0, ""gamma"": 0.0, ""subsample"": 0.6, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0}",0.8588457451746864,0.0036767047510158,0.8522485508809482,0.8625039545801587,,,,,,,44.64264917373657
santander,496,xgboost,381700,"{""n_estimators"": 700, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 10.0, ""gamma"": 0.0, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0}",0.8912605864003998,0.0027822955199195,0.8862013134715527,0.8938223971858329,,,,,,,94.99992895126344
santander,497,xgboost,855416,"{""n_estimators"": 500, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_weight"": 8.0, ""gamma"": 0.3, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0}",0.8872559778950052,0.0028208192178736,0.8821024014170393,0.8905730761147015,,,,,,,97.56629300117493
santander,498,xgboost,901264,"{""n_estimators"": 1100, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 2.0, ""gamma"": 0.0, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0}",0.8634063519950294,0.0034420018368469,0.8570261117978756,0.8671984818174094,,,,,,,174.37509679794312
santander,499,xgboost,648773,"{""n_estimators"": 700, ""learning_rate"": 0.07, ""max_depth"": 5, ""min_child_weight"": 5.0, ""gamma"": 0.01, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}",0.8894287850083258,0.0028202816191499,0.8845321163775343,0.8924395446356744,,,,,,,120.93336296081544
santander,500,xgboost,197868,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 8.0, ""gamma"": 0.3, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5}",0.8765763283320858,0.0035553781243058,0.8700005634694785,0.8807302150891212,,,,,,,67.87075805664062
santander,501,xgboost,845120,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 5.0, ""gamma"": 0.3, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0}",0.8703667502400781,0.0031556836423549,0.864394692048374,0.8733726819231175,,,,,,,78.29406523704529
santander,502,xgboost,880536,"{""n_estimators"": 700, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 10.0, ""gamma"": 0.0, ""subsample"": 0.7, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5}",0.8903870818976024,0.0026056661911539,0.8852218133899707,0.8923166892054458,,,,,,,120.5153636932373
santander,503,xgboost,317138,"{""n_estimators"": 1100, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 1.0, ""gamma"": 0.01, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5}",0.8691665197752221,0.0037016736433697,0.8622306235636714,0.8730423985416151,,,,,,,128.83539819717407
santander,504,xgboost,351479,"{""n_estimators"": 300, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 8.0, ""gamma"": 0.01, ""subsample"": 0.9, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0}",0.8427119628403098,0.003999148737315,0.8357189317448334,0.8476739116112669,,,,,,,57.01771187782288
santander,505,xgboost,434245,"{""n_estimators"": 300, ""learning_rate"": 0.07, ""max_depth"": 7, ""min_child_weight"": 1.0, ""gamma"": 0.3, ""subsample"": 1.0, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0}",0.8778256765050176,0.0034873296327709,0.8710797630800969,0.8809054720822875,,,,,,,86.82727670669556
santander,506,xgboost,538241,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5.0, ""gamma"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0}",0.8909557804352554,0.0034190177646011,0.8843814695284002,0.8933655928252014,,,,,,,153.170725107193
santander,507,xgboost,909250,"{""n_estimators"": 700, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 1.0, ""gamma"": 0.01, ""subsample"": 0.7, ""colsample_bytree"": 0.5, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",0.8608735856005338,0.0033137887830721,0.85467420747845,0.8645608549075336,,,,,,,120.05547714233398
santander,508,xgboost,316253,"{""n_estimators"": 700, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 5.0, ""gamma"": 0.01, ""subsample"": 1.0, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",0.8493956612861775,0.0035538013972304,0.8433713692515743,0.8543146845790075,,,,,,,103.33769607543944
santander,509,xgboost,887276,"{""n_estimators"": 500, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_weight"": 3.0, ""gamma"": 0.0, ""subsample"": 0.9, ""colsample_bytree"": 0.6, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5}",0.8518983033964365,0.0037301897469244,0.8452034919897456,0.8567291144280421,,,,,,,107.93961095809937
santander,510,xgboost,550136,"{""n_estimators"": 700, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 1.0, ""gamma"": 0.1, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.01, ""reg_lambda"": 0.5}",0.87260056079507,0.0037694770981245,0.8657394102306698,0.8769903849961896,,,,,,,114.90269184112547
santander,511,xgboost,548809,"{""n_estimators"": 900, ""learning_rate"": 0.07, ""max_depth"": 3, ""min_child_weight"": 2.0, ""gamma"": 0.01, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 0.1}",0.8923550070166643,0.0026770401477105,0.8871877134615969,0.8947635709722649,,,,,,,111.99436402320862
santander,512,xgboost,815841,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1.0, ""gamma"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0}",0.8901873583960633,0.0028276700713276,0.8846377029527183,0.8924566923581093,,,,,,,175.00888085365295
santander,513,xgboost,323125,"{""n_estimators"": 500, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 8.0, ""gamma"": 0.0, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0}",0.8586076083387297,0.0034029489247248,0.8522642001222349,0.8620303834709588,,,,,,,65.45565915107727
santander,514,xgboost,377224,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 5.0, ""gamma"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0}",0.8730836677152969,0.0037504123115782,0.8657409070544996,0.8762458980469213,,,,,,,57.251521587371826
santander,515,xgboost,158516,"{""n_estimators"": 900, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 8.0, ""gamma"": 0.3, ""subsample"": 1.0, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0}",0.8814627278629391,0.0034763514371597,0.8747240900832138,0.8845305917759989,,,,,,,150.64582085609436
santander,516,xgboost,380828,"{""n_estimators"": 300, ""learning_rate"": 0.02, ""max_depth"": 7, ""min_child_weight"": 3.0, ""gamma"": 0.0, ""subsample"": 0.9, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.01, ""reg_lambda"": 0.1}",0.8580558770141439,0.0035719903074955,0.8519143270584265,0.8626257323791864,,,,,,,73.9750030040741
santander,517,xgboost,601997,"{""n_estimators"": 700, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 2.0, ""gamma"": 0.0, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",0.891244723328103,0.0029586363740355,0.8856003024068098,0.8939828096869736,,,,,,,105.163391828537
santander,518,xgboost,854681,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 8.0, ""gamma"": 0.1, ""subsample"": 1.0, ""colsample_bytree"": 0.5, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5}",0.8888221556236445,0.0030947959847995,0.8828203099289544,0.8913413384752101,,,,,,,172.83993530273438
santander,519,xgboost,733063,"{""n_estimators"": 1100, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 3.0, ""gamma"": 0.05, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0}",0.8794176616337002,0.0036540516612965,0.8723832477412824,0.8827925681021596,,,,,,,123.66610527038574
