competition,model_id,model_family,seed,params_json,started_at,cv_auc_mean,cv_auc_std,cv_auc_min,cv_auc_max,submission_path,submitted_to_kaggle,kaggle_status,public_auc,private_auc,runtime_seconds,error,finished_at,cv_private_gap,abs_cv_private_gap,public_private_gap,abs_public_private_gap
santander,550,xgboost,945954,"{""n_estimators"": 500, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 5.0, ""gamma"": 0.3, ""subsample"": 0.6, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0}",2026-05-10T14:32:53.097048,0.8482368919286779,0.0033054316100531,0.8423628591340131,0.8514599598711379,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0550.csv,False,,,,88.44756078720093,,2026-05-10T14:34:21.544598,,,,
santander,551,xgboost,405763,"{""n_estimators"": 900, ""learning_rate"": 0.07, ""max_depth"": 7, ""min_child_weight"": 5.0, ""gamma"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0}",2026-05-10T14:34:21.558378,0.886412062354198,0.002729983063753,0.881242349951189,0.8883455354664908,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0551.csv,False,,,,197.56931710243225,,2026-05-10T14:37:39.127686,,,,
santander,552,xgboost,436808,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 5.0, ""gamma"": 0.0, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1}",2026-05-10T14:37:39.142411,0.8892116754289494,0.0023969619535924,0.8844428531328903,0.8908698108265223,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0552.csv,False,,,,186.5832481384277,,2026-05-10T14:40:45.725654,,,,
santander,553,xgboost,591302,"{""n_estimators"": 1100, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1.0, ""gamma"": 0.1, ""subsample"": 0.6, ""colsample_bytree"": 1.0, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0}",2026-05-10T14:40:45.740478,0.8914687322556416,0.0028320850949574,0.8860469193775427,0.8942251430451965,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0553.csv,False,,,,180.9574649333954,,2026-05-10T14:43:46.697931,,,,
santander,554,xgboost,284282,"{""n_estimators"": 300, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 2.0, ""gamma"": 0.3, ""subsample"": 0.6, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0}",2026-05-10T14:43:46.712048,0.853413697786548,0.0030843186858398,0.8479573194339587,0.8573416477673078,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0554.csv,False,,,,62.232563972473145,,2026-05-10T14:44:48.944604,,,,
santander,555,xgboost,602280,"{""n_estimators"": 500, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5.0, ""gamma"": 0.05, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}",2026-05-10T14:44:48.959347,0.8865788813201755,0.002695210683067,0.8814835874822662,0.8886614178107146,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0555.csv,False,,,,100.6329791545868,,2026-05-10T14:46:29.592318,,,,
santander,556,xgboost,475839,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1.0, ""gamma"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.01, ""reg_lambda"": 0.5}",2026-05-10T14:46:29.605609,0.8585908203600134,0.0037969239582901,0.8518977963158083,0.8636472378890026,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0556.csv,False,,,,47.45764112472534,,2026-05-10T14:47:17.063240,,,,
santander,557,xgboost,761782,"{""n_estimators"": 900, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 8.0, ""gamma"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5}",2026-05-10T14:47:17.076271,0.8842370678815377,0.0031635815496475,0.8783918200824671,0.8876409910820823,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0557.csv,False,,,,164.8518831729889,,2026-05-10T14:50:01.928146,,,,
santander,558,xgboost,539001,"{""n_estimators"": 1100, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 3.0, ""gamma"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0}",2026-05-10T14:50:01.942854,0.8913800096126365,0.0030004871246021,0.8856131965243266,0.8938005636077533,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0558.csv,False,,,,121.14520692825316,,2026-05-10T14:52:03.088055,,,,
santander,559,xgboost,81725,"{""n_estimators"": 700, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 10.0, ""gamma"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0}",2026-05-10T14:52:03.101003,0.8855563732681814,0.0033844211990637,0.8789944593320225,0.8882640736565791,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0559.csv,False,,,,124.0750720500946,,2026-05-10T14:54:07.176067,,,,
