competition,model_id,model_family,seed,params_json,started_at,cv_auc_mean,cv_auc_std,cv_auc_min,cv_auc_max,submission_path,submitted_to_kaggle,kaggle_status,public_auc,private_auc,runtime_seconds,error,finished_at
porto,623,xgboost,475268,"{""n_estimators"": 900, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 8.0, ""gamma"": 0.1, ""subsample"": 1.0, ""colsample_bytree"": 0.6, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5}",2026-05-13T01:31:53.427042,0.6372656947006099,0.0034063283543906203,0.6307921442786164,0.6408095803273365,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0623.csv,False,,,,58.16927695274353,,2026-05-13T01:32:51.596309
porto,624,xgboost,650962,"{""n_estimators"": 300, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 8.0, ""gamma"": 0.01, ""subsample"": 0.9, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1}",2026-05-13T01:32:51.616971,0.6395678236715606,0.00325403770882866,0.6333034035692894,0.6428090090763312,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0624.csv,False,,,,27.729739904403687,,2026-05-13T01:33:19.346698
porto,625,xgboost,683439,"{""n_estimators"": 300, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 2.0, ""gamma"": 0.0, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0}",2026-05-13T01:33:19.355514,0.6396391979632601,0.0032456623217920976,0.6334229875363936,0.6429675702496963,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0625.csv,False,,,,32.573976039886475,,2026-05-13T01:33:51.929478
porto,626,xgboost,124494,"{""n_estimators"": 700, ""learning_rate"": 0.02, ""max_depth"": 7, ""min_child_weight"": 5.0, ""gamma"": 0.0, ""subsample"": 0.9, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0}",2026-05-13T01:33:51.939460,0.6398266680380735,0.0025716904380026933,0.6348841406033552,0.6416058921729975,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0626.csv,False,,,,72.95601201057434,,2026-05-13T01:35:04.895462
porto,627,xgboost,506005,"{""n_estimators"": 900, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 5.0, ""gamma"": 0.0, ""subsample"": 0.6, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5}",2026-05-13T01:35:04.905247,0.6303393242448835,0.0030699926374475463,0.6245052110763359,0.633618705738656,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0627.csv,False,,,,91.51930809020996,,2026-05-13T01:36:36.424544
porto,628,xgboost,16104,"{""n_estimators"": 500, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 3.0, ""gamma"": 0.3, ""subsample"": 0.6, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0}",2026-05-13T01:36:36.435878,0.6397289885301075,0.0035194095210664376,0.6330274481416346,0.643304338943849,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0628.csv,False,,,,35.97827196121216,,2026-05-13T01:37:12.414141
porto,629,xgboost,405798,"{""n_estimators"": 900, ""learning_rate"": 0.01, ""max_depth"": 6, ""min_child_weight"": 1.0, ""gamma"": 0.1, ""subsample"": 0.6, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.01, ""reg_lambda"": 0.1}",2026-05-13T01:37:12.423275,0.6413919189278314,0.0031679246175846574,0.6353626844299112,0.6446388107633919,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0629.csv,False,,,,86.91651797294617,,2026-05-13T01:38:39.339784
porto,630,xgboost,336705,"{""n_estimators"": 300, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 2.0, ""gamma"": 0.01, ""subsample"": 1.0, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.01, ""reg_lambda"": 0.1}",2026-05-13T01:38:39.350527,0.6352370432036538,0.0037158660212957707,0.6282222257232415,0.6389507491426734,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0630.csv,False,,,,32.28974199295044,,2026-05-13T01:39:11.640260
porto,631,xgboost,482848,"{""n_estimators"": 500, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 10.0, ""gamma"": 0.0, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5}",2026-05-13T01:39:11.650095,0.6338190084723804,0.0035023802289371885,0.6271441245163966,0.6373244020799522,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0631.csv,False,,,,36.643413066864014,,2026-05-13T01:39:48.293499
porto,632,xgboost,776317,"{""n_estimators"": 1100, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_weight"": 10.0, ""gamma"": 0.0, ""subsample"": 0.6, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0}",2026-05-13T01:39:48.305031,0.6410972701738183,0.0035132073222644664,0.6342061367916453,0.6438227107741646,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0632.csv,False,,,,114.00046300888062,,2026-05-13T01:41:42.305484
porto,633,xgboost,64757,"{""n_estimators"": 900, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 1.0, ""gamma"": 0.0, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0}",2026-05-13T01:41:42.315667,0.6400882762308399,0.003421408957962245,0.6337311483460305,0.6432718605860146,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0633.csv,False,,,,56.414933919906616,,2026-05-13T01:42:38.730592
porto,634,xgboost,297302,"{""n_estimators"": 1100, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 2.0, ""gamma"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0}",2026-05-13T01:42:38.741831,0.6230918723367156,0.002806223027883824,0.6184358000784642,0.6266979402976717,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0634.csv,False,,,,99.24501299858093,,2026-05-13T01:44:17.986824
